Record ID,Shipment ID,Shipdate,Vendor ID,O_COUNTRY,ORIG,ORIG_ZIP,D_COUNTRY,DEST,DEST_ZIP,Equipment Type,Cost,Weight,Mileage
9337,3184,7/29/2020,17,MX,NL GENERAL ESCOBEDO,66050,MX,NL APODACA,66600,DV,54,0,13
9338,318402,6/2/2020,50,US,TX LAREDO,78040,US,TX HOUSTON,77047,FB,1747,14383,361
9339,1878137,7/28/2020,51,US,TX LAREDO,78040,US,SC GOOSE CREEK,29445,FB,2684,13685,1443
9340,3004,7/10/2020,17,MX,NL APODACA,66600,MX,NL APODACA,66600,DV,53,1,87
9341,A3641,10/17/2019,20,MX,TM NUEVO LAREDO,88060,MX,NL APODACA,66600,DV,334,1832,131
9342,A3642,10/18/2019,20,MX,TM NUEVO LAREDO,88060,MX,NL APODACA,66600,DV,334,3078,131
9343,A3581,10/8/2019,20,MX,TM NUEVO LAREDO,88060,MX,NL APODACA,66600,DV,334,4474,131
9344,71603,4/14/2020,10,MX,APODACA,66600,MX,NUEVO LAREDO,88284,FB,0,0,0
9345,71604,4/14/2020,10,MX,APODACA,66600,MX,NUEVO LAREDO,88284,FB,0,0,0
9346,71605,4/20/2020,10,MX,APODACA,66600,MX,NUEVO LAREDO,88284,FB,0,0,0
9347,1862127,6/11/2020,51,US,TX LAREDO,78040,US,FL MIAMI,33166,FB,4089,3889,1544
9348,17671MTY,4/15/2020,24,MX,APODACA,66600,MX,NUEVO LAREDO,88000,FB,0,0,0
9349,17672MTY,4/16/2020,24,MX,APODACA,66600,MX,NUEVO LAREDO,88000,FB,0,0,0
9350,A3392,2/12/2020,16,MX,NL APODACA,66600,MX,CU RAMOS ARIZPE,25900,DV,210,1,59
9351,17728MTY,4/21/2020,24,MX,NL APODACA,66600,MX,TM NUEVO LAREDO,88000,FB,413,1,131
9352,2771,6/18/2020,17,MX,NL APODACA,66600,MX,NL APODACA,66600,DV,53,1,601
9353,59246,12/5/2019,10,MX,NL SAN PEDRO,66278,MX,NL APODACA,66600,DV,464,1,82
9354,71243,3/25/2020,10,MX,APODACA,66600,MX,NUEVO LAREDO,88284,FB,0,0,0
9355,71590,3/27/2020,10,MX,NL APODACA,66600,MX,TM NUEVO LAREDO,88284,FB,408,1,131
9356,71600,3/31/2020,10,MX,APODACA,66600,MX,NUEVO LAREDO,88284,FB,0,0,0
9357,INB0011020,1/7/2020,37,US,TX LAREDO,78045,US,TX LAREDO,78045,DV,255,0,0
9358,319009,7/16/2020,50,US,TX LAREDO,78045,US,CA SAN JOSE,95133,DV,1465,2215,1839
9359,1614988,5/8/2020,55,US,TX LAREDO,78040,CA,ON WINDSOR,N9J1X6,FB,4789,5463,1624
9360,P2989,10/22/2019,34,MX,TM NUEVO LAREDO,88000,US,TX LAREDO,78045,DV,5218,1,14
9361,3264196,7/24/2020,66,US,TX LAREDO,78040,US,MN RENVILLE,56284,FB,2822,20291,1382
9362,R15320,10/9/2019,40,MX,TM REYNOSA,88780,MX,NL APODACA,66600,DV,741,1,131
9363,136236,10/18/2019,25,US,TX LAREDO,78045,CA,ON HAMILTON,L8L0A5,FB,8110,6730,1807
9364,134777,10/21/2019,22,MX,NL APODACA,66600,MX,TM NUEVO LAREDO,88299,DV,2465,49,131
9365,134781,10/18/2019,22,MX,NL APODACA,66600,MX,TM NUEVO LAREDO,88299,DV,353,49,131
9366,134788,10/21/2019,22,MX,NL APODACA,66600,MX,TM NUEVO LAREDO,88060,DV,493,49,131
9367,134789,10/23/2019,22,MX,TM NUEVO LAREDO,88060,MX,NL APODACA,66600,DV,330,49,131
9368,EXP6934,1/23/2020,1,MX,DG DURANGO,34000,MX,NL APODACA,66600,FB,995,1,378
9369,A4596,3/23/2020,20,MX,NUEVO LAREDO,88060,MX,DURANGO,34000,DV,0,0,0
